;name;latitude;longitude;y;x
0;7th Ward Fire Dep,20321 N La Highway 82, Abbeville, 7051, LA;30.75059;-95.954691;3423155.6788;-9179798.960957631
1;Abbeville Fire Dep,210 W Vermilion St, Abbeville, 7051, LA;29.976488;-92.135975;3336982.64416;-8884515.376434578
2;Alexandria Fire Dep,1000 Bolton Ave, Alexandria, 7130, LA;31.31129;-92.44514;3485572.8028;-8792132.288324142
3;Alexandria Fire Prevention Bu,1000 Bolton Ave, Alexandria, 7130, LA;31.31129;-92.44514;3485572.8028;-8792132.288324142
4;Amelia Volunteer Fire Dep,1200 David Dr, Morgan City, 7038, LA;29.69937;-91.20677;3306133.8684;-8819346.61946315
5;Amite Fire Dep,210 NE Central Ave, Amite, 7042, LA;30.721144;-90.508752;3419877.7500799997;-8661442.949414195
6;Ascension Fire District No ,325 E Caldwell St, Gonzales, 7073, LA;30.235802;-90.918808;3365849.47864;-8744169.29832278
7;Avondale Volunteer Fire Dep,500 S Jamie Blvd, Westwego, 7009, LA;29.909896;-90.202972;3329569.62272;-8703944.435127703
8;Bastrop Fire Chie,717 N Marable St, Bastrop, 7122, LA;32.777872;-91.919955;3648832.7110400004;-8603219.657767497
9;Bastrop Fire Prevention Offic,211 E Jefferson Ave, Bastrop, 7122, LA;32.77728;-91.914417;3648766.8096;-8602758.564535007
10;Bayou Black Fire Dep,2820 Savanne Rd, Houma, 7036, LA;29.634083;-90.765622;3298866.11956;-8782387.80288642
11;Bayou Blue Volunteer Fire Dep,1870 Bayou Blue Rd, Houma, 7036, LA;29.580966;-90.608818;3292953.13512;-8771835.467663508
12;Bayou Boeuf Volunteer Fire C,3457 Highway 307, Thibodaux, 7030, LA;29.79576;-90.82287;3316864.0032;-8773785.498307707
13;Bayou Cane Fire Dep,6166 W Main St, Houma, 7036, LA;29.603932;-90.741855;3295509.71024;-8782715.296158567
14;Bayou Dularge Fire Dep,1038 Falgout Canal Rd, Theriot, 7039, LA;29.603932;-90.741855;3295509.71024;-8782715.296158567
15;Bayou Gauche Volunteer Fir,1st St, Des Allemands, 7003, LA;29.810645;-90.425291;3318521.0014;-8734078.310037706
16;Bayou Lourse Volunteer Fir,333 Highway 663, Morgan City, 7038, LA;29.689859;-91.095236;3305075.10388;-8809395.592151826
17;Beauregard Fire Protectio,13491 Hwy 389, De Quincy, 7063, LA;30.45048;-93.43322;3389747.4336;-8966307.26736868
18;Beauregard Fire Protectio,13491 Hwy 389, Dequincy, 7063, LA;30.45048;-93.43322;3389747.4336;-8966307.26736868
19;Beauregard Parish Fire Dis,354 Three Pine Church Rd, De Ridder, 7063, LA;30.911977;-93.284407;3441121.27964;-8909347.106738923
20;Bel-Aire Cove Fire Dep,1638 Belaire Cove Rd, Ville Platte, 7058, LA;30.670776;-92.249411;3414270.78432;-8832627.681562064
21;Berwick Town Fire Chief Of,3225 3rd St, Berwick, 7034, LA;29.69465;-91.21899;3305608.438;-8820942.669355493
22;Bogalusa Fire Dep,200 Arkansas Ave, Bogalusa, 7042, LA;30.786566;-89.860683;3427160.52712;-8593583.850930966
23;Bonita Fire Departmen,15446 Bonita Ave, Bonita, 7122, LA;32.877348;-91.694533;3659906.3793599997;-8572514.083670845
24;Bossier City Fire Trainin,5850 Shed Rd, Bossier City, 7111, LA;32.877348;-91.694533;3659906.3793599997;-8572514.083670845
25;Bourg Volunteer Fire Dep,4402 Highway 24, Bourg, 7034, LA;29.563806;-90.647449;3291042.88392;-8777066.850796698
26;Boutte Luling Fire Dep,67 Saint Anthony St, Luling, 7007, LA;29.93462;-90.364235;3332321.8984;-8717339.899231495
27;Branch Volunteer Fire Dep,173 Dr Parrot Ave, Rayne, 7057, LA;30.326259;-92.268188;3375919.1518800003;-8865769.944213213
28;Breaux Bridge Fire Dep,225 N Main St, Breaux Bridge, 7051, LA;30.326259;-92.268188;3375919.1518800003;-8865769.944213213
29;Bridge City Volunteer Fire C,2220 Bridge City Ave, Bridge City, 7009, LA;30.27353;-91.89928;3370049.3596;-8835072.694933422
30;Broadlands Fire Dep,620 Mayeaux Dr, De Ridder, 7063, LA;30.911977;-93.284407;3441121.27964;-8909347.106738923
31;Broussard Fire Dep,416 E Railroad St, Broussard, 7051, LA;30.150227;-91.964013;3356323.26964;-8852382.162387062
32;Bunkie Fire Chie,103 Walnut St, Bunkie, 7132, LA;30.95439;-92.18527;3445842.6948;-8800466.588556498
33;Bush Volunteer Fire Dep,29439 Highway 40, Bush, 7043, LA;30.584401;-90.075665;3404655.51932;-8632198.532022946
34;Caddo Fire Distric,8240 Colquitt Rd, Keithville, 7104, LA;32.380421;-93.843162;3604588.4657199997;-8822241.913389357
35;Cade Volunteer Fire Dep,1630 Smede Hwy, Cade, 7051, LA;30.088681;-91.906251;3349471.96892;-8852336.813296426
36;Campti Fire Dep,218 Edenborne St, Campti, 7141, LA;31.870496;-93.100676;3547823.61472;-8801489.868561778
37;Cankton Village Fire Dep,107 Dandurand Rd, Cankton, 7058, LA;31.870496;-93.100676;3547823.61472;-8801489.868561778
38;Carencro City Fire Dep,214 E Saint Peter St, Carencro, 7052, LA;30.317705;-92.049507;3374966.9206;-8845529.892076863
39;Catahoula Lake Fire Dep,Catahoula Lake Levee Rd, St Martinville, 7058, LA;30.1252;-91.83345;3353537.264;-8842056.249357466
40;Chackbay Volunteer Fire Dep,100 Highway 304, Thibodaux, 7030, LA;29.79576;-90.82287;3316864.0032;-8773785.498307707
41;Charenton-Chitimacha Voluntee,215 Choushatta Dr, Charenton, 7052, LA;29.90023;-91.513954;3328493.6036;-8831301.71009654
42;Chataignier Fire Dep,231 Martin Luther King St, Chataignier, 7052, LA;30.56853;-92.32207;3402888.7596;-8848925.833670527
43;Collinston Fire Departmen,4444 Main St, Collinston, 7122, LA;32.688423;-91.87082;3638875.24836;-8607254.236703448
44;Comm Volunteer Fire Dep,1317 Occupy Church Rd 2, Elizabeth, 7063, LA;30.911977;-93.284407;3441121.27964;-8909347.106738923
45;Concordia Fire Dist ,413 Airport Rd, Vidalia, 7137, LA;31.574512;-91.474688;3514874.6758399997;-8675432.67528157
46;Coteau Holmes Volunteer Fir,1860 Coteau Holmes Hwy, St Martinville, 7058, LA;30.1252;-91.83345;3353537.264;-8842056.249357466
47;Coteau Volunteer Fire Dep,4715 Highway 88, New Iberia, 7056, LA;30.053991;-91.895974;3345610.27812;-8854450.459692
48;Cottonport Fire Dep,307 Choupique Ln, Cottonport, 7132, LA;30.984909;-92.054189;3449240.06988;-8785144.156289695
49;Covington Fire Dep,525 N Jefferson Ave, Covington, 7043, LA;30.49915;-90.089506;3395165.378;-8641107.725862196
50;Crowley City Fire Dep,104 W Hutchinson Ave, Crowley, 7052, LA;30.324765;-92.406964;3375752.8397999997;-8879239.939968301
