;name;latitude;longitude;y;x
0;7th Ward Fire Dep,20321 N La Highway 82, Abbeville, 7051, LA;30.75059;-95.954691;3417589.82201;-10664308.403049
1;Abbeville Fire Dep,210 W Vermilion St, Abbeville, 7051, LA;29.976488;-92.135975;3331556.899832;-10239900.125525
2;Alexandria Fire Dep,1000 Bolton Ave, Alexandria, 7130, LA;31.31129;-92.44514;3479905.45931;-10274260.41446
3;Alexandria Fire Prevention Bu,1000 Bolton Ave, Alexandria, 7130, LA;31.31129;-92.44514;3479905.45931;-10274260.41446
4;Amelia Volunteer Fire Dep,1200 David Dr, Morgan City, 7038, LA;29.69937;-91.20677;3300758.2824299997;-10136629.21103
5;Amite Fire Dep,210 NE Central Ave, Amite, 7042, LA;30.721144;-90.508752;3414317.223016;-10059052.188528
6;Ascension Fire District No ,325 E Caldwell St, Gonzales, 7073, LA;30.235802;-90.918808;3360376.798478;-10104625.402312
7;Avondale Volunteer Fire Dep,500 S Jamie Blvd, Westwego, 7009, LA;29.909896;-90.202972;3324155.931544;-10025068.105108
8;Bastrop Fire Chie,717 N Marable St, Bastrop, 7122, LA;32.777872;-91.919955;3642899.9162080004;-10215891.878745
9;Bastrop Fire Prevention Offic,211 E Jefferson Ave, Bastrop, 7122, LA;32.77728;-91.914417;3642834.12192;-10215276.390963
10;Bayou Black Fire Dep,2820 Savanne Rd, Houma, 7036, LA;29.634083;-90.765622;3293502.350537;-10087600.463458
11;Bayou Blue Volunteer Fire Dep,1870 Bayou Blue Rd, Houma, 7036, LA;29.580966;-90.608818;3287598.980274;-10070173.423702
12;Bayou Boeuf Volunteer Fire C,3457 Highway 307, Thibodaux, 7030, LA;29.79576;-90.82287;3311470.97064;-10093962.948929999
13;Bayou Cane Fire Dep,6166 W Main St, Houma, 7036, LA;29.603932;-90.741855;3290151.398548;-10084959.022845
14;Bayou Dularge Fire Dep,1038 Falgout Canal Rd, Theriot, 7039, LA;29.603932;-90.741855;3290151.398548;-10084959.022845
15;Bayou Gauche Volunteer Fir,1st St, Des Allemands, 7003, LA;29.810645;-90.425291;3313125.2746550003;-10049776.416449001
16;Bayou Lourse Volunteer Fir,333 Highway 663, Morgan City, 7038, LA;29.689859;-91.095236;3299701.2394009996;-10124233.433804
17;Beauregard Fire Protectio,13491 Hwy 389, De Quincy, 7063, LA;30.45048;-93.43322;3384235.89672;-10384074.63758
18;Beauregard Fire Protectio,13491 Hwy 389, Dequincy, 7063, LA;30.45048;-93.43322;3384235.89672;-10384074.63758
19;Beauregard Parish Fire Dis,354 Three Pine Church Rd, De Ridder, 7063, LA;30.911977;-93.284407;3435526.211803;-10367535.709573
20;Bel-Aire Cove Fire Dep,1638 Belaire Cove Rd, Ville Platte, 7058, LA;30.670776;-92.249411;3408719.373864;-10252507.289129
21;Berwick Town Fire Chief Of,3225 3rd St, Berwick, 7034, LA;29.69465;-91.21899;3300233.70635;-10137987.329610001
22;Bogalusa Fire Dep,200 Arkansas Ave, Bogalusa, 7042, LA;30.786566;-89.860683;3421588.158674;-9987026.447936999
23;Bonita Fire Departmen,15446 Bonita Ave, Bonita, 7122, LA;32.877348;-91.694533;3653955.579372;-10190838.703087
24;Bossier City Fire Trainin,5850 Shed Rd, Bossier City, 7111, LA;32.877348;-91.694533;3653955.579372;-10190838.703087
25;Bourg Volunteer Fire Dep,4402 Highway 24, Bourg, 7034, LA;29.563806;-90.647449;3285691.8350339998;-10074466.834410999
26;Boutte Luling Fire Dep,67 Saint Anthony St, Luling, 7007, LA;29.93462;-90.364235;3326903.73218;-10042990.713665
27;Branch Volunteer Fire Dep,173 Dr Parrot Ave, Rayne, 7057, LA;30.326259;-92.268188;3370430.099001;-10254594.146132
28;Breaux Bridge Fire Dep,225 N Main St, Breaux Bridge, 7051, LA;30.326259;-92.268188;3370430.099001;-10254594.146132
29;Bridge City Volunteer Fire C,2220 Bridge City Ave, Bridge City, 7009, LA;30.27353;-91.89928;3364569.85067;-10213594.079920001
30;Broadlands Fire Dep,620 Mayeaux Dr, De Ridder, 7063, LA;30.911977;-93.284407;3435526.211803;-10367535.709573
