name;latitude;longitude
7th Ward Fire Dep,20321 N La Highway 82, Abbeville, 7051, LA;30.75059;-95.954691
Abbeville Fire Dep,210 W Vermilion St, Abbeville, 7051, LA;29.976488;-92.135975
Alexandria Fire Dep,1000 Bolton Ave, Alexandria, 7130, LA;31.31129;-92.44514
Alexandria Fire Prevention Bu,1000 Bolton Ave, Alexandria, 7130, LA;31.31129;-92.44514
Amelia Volunteer Fire Dep,1200 David Dr, Morgan City, 7038, LA;29.69937;-91.20677
Amite Fire Dep,210 NE Central Ave, Amite, 7042, LA;30.721144;-90.508752
Ascension Fire District No ,325 E Caldwell St, Gonzales, 7073, LA;30.235802;-90.918808
Avondale Volunteer Fire Dep,500 S Jamie Blvd, Westwego, 7009, LA;29.909896;-90.202972
Bastrop Fire Chie,717 N Marable St, Bastrop, 7122, LA;32.777872;-91.919955
Bastrop Fire Prevention Offic,211 E Jefferson Ave, Bastrop, 7122, LA;32.77728;-91.914417
Bayou Black Fire Dep,2820 Savanne Rd, Houma, 7036, LA;29.634083;-90.765622
Bayou Blue Volunteer Fire Dep,1870 Bayou Blue Rd, Houma, 7036, LA;29.580966;-90.608818
Bayou Boeuf Volunteer Fire C,3457 Highway 307, Thibodaux, 7030, LA;29.79576;-90.82287
Bayou Cane Fire Dep,6166 W Main St, Houma, 7036, LA;29.603932;-90.741855
Bayou Dularge Fire Dep,1038 Falgout Canal Rd, Theriot, 7039, LA;29.603932;-90.741855
Bayou Gauche Volunteer Fir,1st St, Des Allemands, 7003, LA;29.810645;-90.425291
Bayou Lourse Volunteer Fir,333 Highway 663, Morgan City, 7038, LA;29.689859;-91.095236
Beauregard Fire Protectio,13491 Hwy 389, De Quincy, 7063, LA;30.45048;-93.43322
Beauregard Fire Protectio,13491 Hwy 389, Dequincy, 7063, LA;30.45048;-93.43322
Beauregard Parish Fire Dis,354 Three Pine Church Rd, De Ridder, 7063, LA;30.911977;-93.284407
Bel-Aire Cove Fire Dep,1638 Belaire Cove Rd, Ville Platte, 7058, LA;30.670776;-92.249411
Berwick Town Fire Chief Of,3225 3rd St, Berwick, 7034, LA;29.69465;-91.21899
Bogalusa Fire Dep,200 Arkansas Ave, Bogalusa, 7042, LA;30.786566;-89.860683
