;name;point
0;20321 State Highway 90 North;(30.75059, -95.954691, 0.0)
1;210 West Vermilion Street;(29.9764972, -92.1360397, 0.0)
2;1000 Bolton Avenue;(31.303248, -92.453085, 0.0)
3;1000 Bolton Avenue;(31.303248, -92.453085, 0.0)
4;Laos;(18.0, 105.0, 0.0)
5;100 NE Central Avenue;(30.726817, -90.508134, 0.0)
6;325 East Caldwell Street;(30.235521, -90.917988, 0.0)
7;500 South Jamie Boulevard;(29.899158, -90.207784, 0.0)
8;1316 Ryan Street;(28.549425, -81.760891, 0.0)
9;717 North Marable Street;(32.7835784, -91.9201681, 0.0)
10;211 East Jefferson Avenue;(41.614061, -86.711977, 0.0)
11;Laos;(18.0, 105.0, 0.0)
12;2820 Savanne Road;(29.584975, -90.815726, 0.0)
13;1870 Bayou Blue Road;(29.642945, -90.684366, 0.0)
14;7075 Suzanne Lane;(42.718927, -73.913923, 0.0)
15;307 Lyell Highway;(-42.743457, 147.194254, 0.0)
16;6166 West Main Street;(29.627385, -90.754776, 0.0)
17;1038 Falgout Canal Road;(29.411145, -90.782626, 0.0)
18;7003-9 大字小室;(35.992611, 139.629752, 0.0)
19;317 Hwy 663;(29.720927, -91.071576, 0.0)
20;1480 Hwy 389;(30.718677, -93.562697, 0.0)
21;1480 Hwy 389;(30.718677, -93.562697, 0.0)
22;;
23;1638 Belaire Cove Road;(30.6537704, -92.2261948, 0.0)
24;1207-B Hwy 70;(29.895867, -91.21207, 0.0)
25;Rue Saint-Macaire 3;(50.47247, 4.01684, 0.0)
26;200 Arkansas Avenue;(31.63684, -91.552582, 0.0)
27;15446 Bonita Grulla;(29.798619, -95.136831, 0.0)
28;Laos;(18.0, 105.0, 0.0)
29;4402 Highway 24;(29.553555, -90.604786, 0.0)
30;67 St Anthony Street;(42.400261, -82.169096, 0.0)
31;173 Dr Parrot Avenue;(30.3472886, -92.2690093, 0.0)
32;Laos;(18.0, 105.0, 0.0)
33;2220 Bridge City Avenue;(29.930178, -90.177308, 0.0)
34;620 Dairy Drive;(39.278513, -75.60583, 0.0)
35;416 East Railroad Street;(41.242302, -75.935882, 0.0)
36;103 Walnut Street;(30.386556, -90.099174, 0.0)
37;29439 Hwy 40;(30.611191, -89.906137, 0.0)
38;8240 Colquitt Road;(32.312595, -93.942839, 0.0)
39;Smede Highway & Maurice Road;(30.09032, -91.922884, 0.0)
40;218 Bourbon Street;(29.954992, -90.068772, 0.0)
41;107 Dandurand Road;(45.0009256, -72.9522293, 0.0)
42;214 East Saint Peter Street;(30.317489, -92.046859, 0.0)
43;Laos;(19.43535, 102.560667, 0.0)
44;Highway 304 & Highway 20;(29.87993, -90.805544, 0.0)
45;215 Teresa Dr Drive;(30.141095, -91.819702, 0.0)
46;231 Martin Luther King Street;(33.765191, -96.537133, 0.0)
47;4444 Main Street;(49.245159, -123.10087, 0.0)
48;1317 Occupy Church 2 Road;(30.942123, -92.846846, 0.0)
49;413 Airport Road;(31.580078, -91.504651, 0.0)
50;Laos;(18.0, 105.0, 0.0)
51;Coteau Volunteer Fire Department;(30.050504, -91.950525, 0.0)
52;307 Choupique Lane;(30.9837361, -92.0521109, 0.0)
53;525 North Jefferson Avenue;(30.479626, -90.097985, 0.0)
54;104 West Hutchinson Avenue;(30.214371, -92.374576, 0.0)
55;West Main Street & West 68th Street;(29.521998, -90.334729, 0.0)
56;300 North Holly Street;(30.507303, -90.457585, 0.0)
57;302 North Railroad Street;(41.558605, -99.245748, 0.0)
58;Laos;(18.0, 105.0, 0.0)
59;120 Dejean Street;(29.824619, -90.474128, 0.0)
60;West LA Hwy 82 & State Route 82;(29.844704, -92.175155, 0.0)
61;7878 Prescott Road;(30.488845, -91.107736, 0.0)
62;700 Lafourche Street;(30.10175, -90.993054, 0.0)
63;1801 Highway 20;(29.701505, -90.924346, 0.0)
64;SET-Straße 1;(47.835168, 16.453521, 0.0)
65;908 Ormond Boulevard;(29.96566, -90.379021, 0.0)
66;Highway 774;(31.643108, -92.207153, 0.0)
67;40095 Highway 445;(30.445343, -90.311347, 0.0)
68;230 Poplar Street;(44.411584, -80.106532, 0.0)
69;351 Douglas Street;(43.060674, -76.139312, 0.0)
70;100 Park Avenue;(29.935577, -90.213337, 0.0)
71;Laos;(18.0, 105.0, 0.0)
72;112 Tennessee Avenue;(31.633796, -91.552359, 0.0)
73;568 Hwy 109;(30.615685, -93.437329, 0.0)
74;568 Hwy 109;(30.615685, -93.437329, 0.0)
75;200 Arkansas Avenue;(31.63684, -91.552582, 0.0)
76;1307 Victor II Boulevard;(29.7028676, -91.1977645, 0.0)
77;2815 Foreman Drive;(41.276434, -85.838644, 0.0)
78;1306 Main Street;(30.451548, -91.175778, 0.0)
79;1 Po Box;(44.119226, -97.21545, 0.0)
80;1357 S Union Street;(39.294611, -119.657825, 0.0)
81;62438 Commercial Street;(30.755695, -90.50985, 0.0)
82;1007 South Spruce Street;(38.599982, -100.620554, 0.0)
83;115 Northpark Boulevard;(30.442721, -90.088859, 0.0)
84;110 South Main Street;(33.001444, -93.461517, 0.0)
85;Laos;(18.0, 105.0, 0.0)
86;Highway 165 & State Highway 165 Large Loop;(36.627635, -93.280487, 0.0)
87;2197 Ellery Ave Bldg;(40.861151, -73.973315, 0.0)
88;803 Pearl Street;(32.783375, -93.060823, 0.0)
89;54006 Highway 10;(30.864617, -89.986956, 0.0)
90;9762 16 La Hwy 965;(30.770576, -91.343965, 0.0)
91;16573 Hwy 931;(30.310053, -90.855156, 0.0)
92;418 Historic West Street;(30.054733, -90.617738, 0.0)
93;12171 Hwy 73;(30.244981, -90.989323, 0.0)
94;116 Moss Street;(-34.869865, 150.611529, 0.0)
95;116 Moss Street;(-34.869865, 150.611529, 0.0)
96;7473 Golden Meadow;(32.42942, -93.93928, 0.0)
97;7473 Golden Meadow;(32.42942, -93.93928, 0.0)
98;325 East Caldwell Street;(30.235521, -90.917988, 0.0)
99;24477 Hwy 190;(30.336813, -89.999454, 0.0)
100;24477 Hwy 190;(30.336813, -89.999454, 0.0)
101;4336 Edgerly Road;(30.3794973, -93.461952, 0.0)
102;4336 Edgerly Road;(30.3794973, -93.461952, 0.0)
103;700 Gretna Boulevard;(29.897006, -90.047226, 0.0)
104;407 River Road;(30.216666, -91.984816, 0.0)
105;4717 Grand Caillou Road;(29.480195, -90.699736, 0.0)
106;6974 Grand Caillou Road;(29.407785, -90.700616, 0.0)
107;2867 Grand Chenier Highway;(29.767308, -92.976443, 0.0)
108;442 Martin Luther King Drive;(32.609165, -93.282261, 0.0)
109;Falkenborgvegen 37;(63.434549, 10.462075, 0.0)
